T2M,RH2M,WS2M,ALLSKY_SFC_SW_DWN,T2M_MAX,PRECTOTCORR,T2M_MIN
21.0,76.75,3.55,28.8,27.17,0.05,14.07
21.64,75.56,2.69,27.54,27.88,0.01,14.56
21.44,74.31,2.01,27.29,27.13,0.0,15.45
21.14,70.81,1.91,26.39,27.44,0.01,14.3
21.1,70.06,2.27,27.17,27.02,0.0,14.26
21.53,74.62,3.36,21.9,27.33,0.95,14.12
20.64,77.25,2.58,18.65,25.17,3.42,17.25
19.0,82.38,2.62,16.1,22.98,8.16,15.78
18.8,83.94,2.34,14.67,22.58,4.29,15.08
17.84,85.69,2.84,10.15,20.16,5.89,16.0
18.25,74.38,3.57,16.91,22.7,0.53,14.15
17.77,72.06,2.66,21.83,22.98,0.06,12.22
17.83,71.5,3.83,19.4,23.35,0.17,13.48
17.4,76.19,2.62,17.11,22.58,0.61,12.21
17.25,75.62,2.01,19.06,22.48,0.68,11.18
17.76,79.56,1.36,16.93,22.06,4.43,12.01
17.04,76.75,1.69,12.9,21.07,6.32,13.83
17.13,76.06,1.05,14.78,21.41,0.89,12.19
18.58,76.5,2.73,16.78,23.3,1.06,14.96
18.09,76.81,4.09,13.39,22.55,1.51,13.96
17.07,78.06,4.39,17.25,22.06,5.06,12.5
16.72,72.88,3.76,19.14,21.04,0.45,11.85
16.98,78.75,2.97,15.99,21.8,2.04,12.58
19.15,79.94,2.13,17.69,24.83,1.0,14.18
19.4,75.75,0.92,22.75,24.18,0.04,14.01
21.63,75.12,1.36,21.3,28.93,0.0,14.6
20.58,73.56,1.87,22.52,27.05,0.0,14.69
20.83,67.56,1.16,24.41,28.19,0.0,13.04
21.53,68.75,2.05,21.38,28.82,0.04,15.01
17.57,73.69,3.35,12.97,21.8,0.52,13.51
16.19,78.94,2.8,11.49,20.27,0.36,11.0
17.87,81.12,2.34,8.6,22.9,0.68,14.13
17.51,80.81,2.0,10.65,21.51,0.34,13.69
18.87,74.62,1.34,17.14,24.23,0.1,13.44
19.56,77.69,2.43,15.26,26.4,0.33,13.83
